,stamp,walk,mu_x,mu_y,mu_z,mu_rms,sigma_x,sigma_y,sigma_z,sigma_rms,speed
7941,1527699069.01,915-2,-326.57,-8.33,60.24,193.81036090281378,48.646326685578224,30.587597159633184,33.68415651311459,26.429352496565848,0.7257400799
7942,1531321866.01,181-2,-330.62,-46.81,34.41,194.78110889568796,32.95748169991148,20.583340350875996,24.752412003681584,18.15047154666179,0.7258710798
7943,1525795405.01,78-1,-257.41,-32.48,219.35,198.35131566573142,49.350196554826404,35.743105628918144,29.010472247104147,25.522321740130387,0.7258979843
7944,1531322205.01,181-2,-335.68,-52.77,29.02,197.9609266130584,35.68357605397755,20.726241820455538,29.985656571100794,21.168723812091642,0.7259069385
7945,1525946640.01,390-2,-331.76,-14.68,41.68,193.9627578706573,23.076880205088386,18.384167101068243,21.517843758146388,12.731924149243705,0.7259135983
7946,1527698728.01,915-1,-320.77,15.66,95.36,194.9092293666896,36.863764050894204,27.524977747493267,27.607796000405386,19.511423346759894,0.7259280054
7947,1525278403.01,733-2,-273.91,70.52,172.61,194.42320790900544,49.23456001631376,47.29767013289345,46.62443458102201,32.80126358904972,0.725959701
7948,1527185139.01,339-1,-318.5,-60.99,72.97,192.96403241981434,30.818338696302238,16.969086598871495,29.653483775097996,17.30459069008835,0.7259640855
7949,1525941466.01,145-2,-256.45,-36.87,217.52,198.355709738919,52.121852422952124,32.07761057186149,51.97931896437274,30.840975135411515,0.7259654454
7950,1528363719.01,806-2,-338.04,31.38,4.52,200.27101743007913,71.10202810046981,40.071630862743774,68.47838783149031,45.830334686983434,0.7260939243
7951,1531322207.01,181-2,-337.44,-44.18,26.22,198.1621648151653,41.79409527672539,21.74,29.208416595221326,24.30973266891147,0.7261011001
7952,1525943777.01,314-2,-318.75,25.79,83.57,193.064605775968,43.401238461592314,33.669658447926075,39.642970373068664,25.933787419183446,0.726108027
7953,1528363239.01,806-1,-339.55,14.38,10.26,200.63296141573167,80.56927143768894,41.801621978100314,64.97131982652039,49.347591567912694,0.7261545421
7954,1525795666.01,78-1,-275.3,-15.31,196.23,197.26246246723377,43.7553425309413,32.15453156244077,32.762129051696256,24.597172629454143,0.726166623
7955,1525943121.01,314-1,-299.14,51.05,132.04,194.54837770104106,51.88988726139228,45.21070116686979,48.20869631093543,31.8268031784487,0.7261693335
7956,1527700631.01,52-1,-328.65,-36.19,53.63,193.4018057488228,2.511473670974873,3.081217291915651,2.4398975388323167,1.3777517052552077,0.7261876137
7957,1526487612.01,161-2,-333.34,-33.58,-10.85,194.79329076614167,18.490116278704154,34.55059478503953,16.27106327195613,10.456124481091205,0.7262130917
7958,1525943748.01,314-2,-325.2,27.45,84.91,197.11604477182348,39.84645530031498,26.30489498173296,46.36509355107568,22.97429491509566,0.7262196415
7959,1525940604.01,145-1,-329.12,-52.3,70.15,197.76981204882665,28.792457345631334,21.23228673506459,29.47554070750866,16.188620761874418,0.7262290045
7960,1527700340.01,52-1,-317.38,-48.0,99.23,196.747831651993,54.998141786791294,41.48782954072194,37.422948841586496,31.080766939900027,0.7263343738
7961,1527700921.01,52-2,-309.08,-3.33,115.37,192.42888766886128,41.84320255429788,25.377964851421794,42.28111990002157,25.4802509902232,0.7263420025
7962,1525941360.01,145-2,-247.47,14.1,221.54,194.03073081793707,38.97215801055927,34.62441335243099,48.64944398448967,29.781742140511014,0.7263994418
7963,1525940917.01,145-1,-311.83,-67.41,78.95,191.44873074476263,42.29847633189641,26.803020352191652,34.620333620576204,24.24486535783222,0.7264784555
7964,1530262113.01,527-2,-337.53,13.04,61.27,200.72083756860658,29.33545806698782,28.71860720856775,50.826736074629075,20.434253083741982,0.7266259311
7965,1526567051.01,298-2,-216.62,23.21,252.54,194.41912458716786,43.341384380289476,26.435315394373482,36.88859444326932,24.36569982768122,0.7266528976
7966,1530258790.01,290-1,-333.84,1.58,1.64,195.51245606410757,28.477261104256502,30.370439575350236,48.76853903901571,17.230385673196214,0.7266840511
7967,1525276993.01,733-1,-260.4,46.89,212.29,198.41870116977566,43.967033104361285,31.844589807375446,58.2108744136351,33.16432359377489,0.7266870481
7968,1530256277.01,481-1,-329.99,36.43,5.82,193.06188932920224,36.18383478847979,19.564383455657374,33.72428798358833,20.535340804871282,0.726690643
7969,1531322075.01,181-2,-326.26,-41.43,37.43,192.2607070347253,39.98865339068071,19.020123553752214,30.15302804031462,22.66099138404079,0.7267059352
7970,1525941662.01,145-2,-226.11,-0.91,245.11,194.210367775666,36.795623381049,28.64405522966327,36.85563593264944,22.98701912907721,0.7267351532
7971,1525795678.01,78-1,-229.91,1.84,243.44,194.2991951253979,25.70606737717771,23.861148337831523,20.193721796637693,12.992796989969483,0.7267416338
7972,1525943215.01,314-1,-295.72,36.95,140.21,193.39278419142968,41.82823926487942,34.9512160017359,53.826442386618865,26.71225104742142,0.7267499172
7973,1531322171.01,181-2,-327.03,-42.91,31.38,192.33934340858056,31.490778015158664,17.89418620669853,29.848544353117124,18.20376271972651,0.7268258563
7974,1531322311.01,181-2,-329.65,-48.74,31.76,194.20837019830927,32.95007587244679,19.45231091670087,26.164525602425893,18.72090484591544,0.7268417686
7975,1530261524.01,527-1,-310.91,2.82,135.31,196.0346715368857,16.873111746207336,14.990917250121823,8.368625932612833,9.529999410213756,0.7269028927
